Frame;Time;HeadPosition_x;HeadPosition_y;HeadPosition_z;HeadRotation_x;HeadRotation_y;HeadRotation_z;HandDetectedR;HighConfidenceR;RHandPosition_x;RHandPosition_y;RHandPosition_z;RHandRotation_x;RHandRotation_y;RHandRotation_z;RHandVelocity_x;RHandVelocity_y;RHandVelocity_z;RWristTwist;HandDetectedL;HighConfidenceL;LHandPosition_x;LHandPosition_y;LHandPosition_z;LHandRotation_x;LHandRotation_y;LHandRotation_z;LHandVelocity_x;LHandVelocity_y;LHandVelocity_z;LWristTwist
31530;1.182528;15.2914;1.4878;-0.5744;354.4654;115.5862;4.9755;True;True;-0.9601;0.9142;-0.9958;25.3276;208.9941;354.8715;2.3001;0.7857;3.3418;0.0000;True;True;-0.0843;1.1699;-0.8679;0.8300;122.6150;25.3581;0.8284;2.7486;0.0911;0.0000;
31532;1.210217;15.2772;1.5108;-0.5310;351.0436;102.9986;2.6791;True;True;-0.9337;0.9215;-0.9679;27.0346;213.4029;355.5736;2.7678;0.8018;2.5362;0.0000;True;True;-0.0743;1.1954;-0.8659;356.2424;124.1158;25.4871;1.0751;2.4290;0.2126;0.0000;
31534;1.238557;15.2573;1.5291;-0.4835;349.5377;86.8410;4.0774;True;True;-0.9037;0.9335;-0.9421;28.2425;216.4465;3.1009;3.0106;1.2724;2.7525;0.0000;True;True;-0.0623;1.2179;-0.8652;352.9747;124.7618;27.3064;1.0836;2.3425;0.0094;0.0000;
31536;1.26598;15.2298;1.5435;-0.4366;349.8616;69.4546;4.5894;True;True;-0.8743;0.9454;-0.9148;24.4717;215.7321;2.0152;3.0019;1.1539;2.6276;0.0000;True;True;-0.0578;1.2491;-0.8641;351.8138;126.1059;27.9261;0.4705;3.1642;0.1744;0.0000;
31538;1.295113;15.1977;1.5538;-0.3941;350.9220;52.9285;2.1174;True;True;-0.8432;0.9562;-0.8933;22.1991;212.3291;358.7606;3.1676;1.1202;1.9775;0.0000;True;True;-0.0414;1.2717;-0.8604;350.1893;124.7131;27.4564;1.8194;2.0902;0.4484;0.0000;
31540;1.321997;15.1671;1.5628;-0.3593;351.7419;38.7325;0.8087;True;True;-0.8116;0.9688;-0.8794;21.6455;207.9657;359.2888;3.1590;1.3082;1.1696;0.0000;True;True;-0.0214;1.2891;-0.8550;348.1693;124.2508;31.3611;2.0814;1.5590;0.6203;0.0000;
31542;1.349955;15.1419;1.5705;-0.3314;352.7614;31.0048;1.3837;True;True;-0.7813;0.9790;-0.8687;22.4358;205.6600;0.3297;2.9899;0.9540;1.0107;0.0000;True;True;-0.0035;1.3012;-0.8495;346.9185;124.0969;33.9245;1.7492;1.0678;0.5392;0.0000;
31544;1.378006;15.1215;1.5768;-0.3075;354.4328;27.7066;0.6142;True;True;-0.7525;0.9880;-0.8605;22.7236;204.4447;0.7704;2.8638;0.8471;0.7597;0.0000;True;True;0.0142;1.3094;-0.8449;346.3705;123.9610;32.9326;1.8627;0.7250;0.4365;0.0000;
31546;1.405626;15.1064;1.5854;-0.2859;355.6012;26.4948;0.5161;True;True;-0.7235;0.9951;-0.8562;23.2939;204.1006;359.8279;2.9205;0.6667;0.3339;0.0000;True;True;0.0338;1.3152;-0.8382;346.8517;123.8826;32.0529;2.0033;0.4260;0.7987;0.0000;
31548;1.433791;15.0965;1.5938;-0.2665;355.4586;27.1288;1.2972;True;True;-0.6921;1.0010;-0.8538;23.1483;204.0693;358.3056;3.1950;0.5607;0.2300;0.0000;True;True;0.0534;1.3150;-0.8295;346.7968;120.9795;32.9631;1.9463;-0.1095;0.8662;0.0000;
